ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	64.75688384156044	64.75688384156044	64.75688384156044	64.75688384156044
1	64.84181874405796	64.78368121099818	64.81274997752806	64.84181874405796
2	64.8914527246535	64.8116684973081	64.853828421841	64.89201412097003
3	64.94637075825683	64.83661826965634	64.89534111425066	64.94693218221579
4	64.98360471003804	64.8566795556327	64.92566968399856	64.98378334531469
5	65.00595732197608	64.869863154379	64.94612588426283	65.01008280582477
6	65.03315514006273	64.8831639854193	64.96467412511183	65.03315514006273
7	65.04637007729426	64.89179234858081	64.97696814786377	65.04644663102562
8	65.06517810437269	64.89352944343538	64.98872750429308	65.06558639627356
9	65.08667023860856	64.91172940543234	65.01143046112857	65.08910700817908
10	65.08953295734605	64.91290374059639	65.01541868682577	65.09216133053488
