Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	14:36:22	14:36:22	14:36:22			14:36:22	14:36:22	14:36:22	14:36:22	14:36:22	14:36:26	14:36:26	14:36:26	14:36:26	14:36:26	14:36:26			14:36:28	14:36:28		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:05
1	14:36:28	14:36:28	14:36:28	14:36:28	14:36:28	14:36:28	14:36:28	14:36:28	14:36:28	14:36:28	14:36:32	14:36:32	14:36:32	14:36:32	14:36:32	14:36:32			14:36:32	14:36:32		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
2	14:36:33	14:36:33	14:36:33	14:36:33	14:36:33	14:36:33			14:36:33	14:36:33	14:36:36	14:36:36	14:36:36	14:36:36	14:36:36	14:36:36			14:36:37	14:36:37		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
3	14:36:37	14:36:37	14:36:37	14:36:37	14:36:37	14:36:37			14:36:37	14:36:37	14:36:40	14:36:40	14:36:40	14:36:40	14:36:40	14:36:40			14:36:41	14:36:41		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
4	14:36:41	14:36:41	14:36:41	14:36:41	14:36:41	14:36:41			14:36:41	14:36:41	14:36:44	14:36:44	14:36:44	14:36:44	14:36:44	14:36:44			14:36:44	14:36:44		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
5	14:36:45	14:36:45	14:36:45	14:36:45	14:36:45	14:36:45			14:36:45	14:36:45	14:36:48	14:36:48	14:36:48	14:36:48	14:36:48	14:36:48			14:36:48	14:36:48		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
6	14:36:48	14:36:48	14:36:48	14:36:48	14:36:48	14:36:48			14:36:48	14:36:48	14:36:51	14:36:51	14:36:51	14:36:51	14:36:51	14:36:51			14:36:52	14:36:52		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
7	14:36:52	14:36:52	14:36:52	14:36:52	14:36:52	14:36:52			14:36:52	14:36:52	14:36:55	14:36:55	14:36:55	14:36:55	14:36:55	14:36:55			14:36:56	14:36:56		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
8	14:36:56	14:36:56	14:36:56	14:36:56	14:36:56	14:36:56			14:36:56	14:36:56	14:36:59	14:36:59	14:36:59	14:36:59	14:36:59	14:36:59			14:36:59	14:36:59		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:03
9	14:36:59	14:36:59	14:37:00	14:37:00	14:37:00	14:37:00			14:37:00	14:37:00	14:37:02	14:37:02	14:37:02	14:37:02	14:37:02	14:37:02			14:37:03	14:37:03		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
10	14:37:03	14:37:03	14:37:03	14:37:03	14:37:03	14:37:03	14:37:03	14:37:03	14:37:03	14:37:03	14:37:07	14:37:07	14:37:07	14:37:07	14:37:07	14:37:07	14:37:07	14:37:07	14:37:07	14:37:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
